movie_name,movie_rating,date
The Little Mermaid,7.6,2023-06-04 09:03:08.173062
Fast X,6.3,2023-06-04 09:03:08.173062
Guardians of the Galaxy Vol. 3,8.2,2023-06-04 09:03:08.173062
Killers of the Flower Moon,9.5,2023-06-04 09:03:08.173062
John Wick: Chapter 4,8.0,2023-06-04 09:03:08.173062
Dungeons & Dragons: Honor Among Thieves,7.3,2023-06-04 09:03:08.173062
The Super Mario Bros. Movie,7.2,2023-06-04 09:03:08.173062
Ant-Man and the Wasp: Quantumania,6.1,2023-06-04 09:03:08.173062
Air,7.5,2023-06-04 09:03:08.173062
The Flash,-1.0,2023-06-04 09:03:08.173062
Sisu,7.0,2023-06-04 09:03:08.173062
Barbie,-1.0,2023-06-04 09:03:08.173062
The Mother,5.6,2023-06-04 09:03:08.173062
Indiana Jones and the Dial of Destiny,-1.0,2023-06-04 09:03:08.173062
White Men Can't Jump,6.8,2023-06-04 09:03:08.173062
Guy Ritchie's The Covenant,7.5,2023-06-04 09:03:08.173062
Evil Dead Rise,6.7,2023-06-04 09:03:08.173062
The Machine,6.7,2023-06-04 09:03:08.173062
Shazam! Fury of the Gods,6.0,2023-06-04 09:03:08.173062
A Man Called Otto,7.5,2023-06-04 09:03:08.173062
Asteroid City,6.9,2023-06-04 09:03:08.173062
Five Nights at Freddy's,-1.0,2023-06-04 09:03:08.173062
Spider-Man: Across the Spider-Verse,9.1,2023-06-04 09:03:08.173062
The Color Purple,7.7,2023-06-04 09:03:08.173062
Mission: Impossible - Dead Reckoning Part One,-1.0,2023-06-04 09:03:08.173062
Misanthrope,6.5,2023-06-04 09:03:08.173062
Oppenheimer,-1.0,2023-06-04 09:03:08.173062
The Creator,-1.0,2023-06-04 09:03:08.173062
Missing,7.1,2023-06-04 09:03:08.173062
F9,5.2,2023-06-04 09:03:08.173062
Transformers: Rise of the Beasts,-1.0,2023-06-04 09:03:08.173062
Beau Is Afraid,7.1,2023-06-04 09:03:08.173062
Kandahar,6.2,2023-06-04 09:03:08.173062
No Hard Feelings,-1.0,2023-06-04 09:03:08.173062
Love Again,5.7,2023-06-04 09:03:08.173062
Scream VI,6.6,2023-06-04 09:03:08.173062
X,6.6,2023-06-04 09:03:08.173062
Renfield,6.4,2023-06-04 09:03:08.173062
The Son,6.3,2023-06-04 09:03:08.173062
The Fast and the Furious,6.8,2023-06-04 09:03:08.173062
Faithfully Yours,5.9,2023-06-04 09:03:08.173062
Jeanne du Barry,6.7,2023-06-04 09:03:08.173062
The Pope's Exorcist,6.1,2023-06-04 09:03:08.173062
Guardians of the Galaxy,8.0,2023-06-04 09:03:08.173062
Ghosted,5.8,2023-06-04 09:03:08.173062
May December,7.1,2023-06-04 09:03:08.173062
About My Father,6.1,2023-06-04 09:03:08.173062
Avatar: The Way of Water,7.7,2023-06-04 09:03:08.173062
Thor,7.0,2023-06-04 09:03:08.173062
Top Gun: Maverick,8.3,2023-06-04 09:03:08.173062
Meg 2: The Trench,-1.0,2023-06-04 09:03:08.173062
Astérix & Obélix: L'Empire du Milieu,5.0,2023-06-04 09:03:08.173062
The Zone of Interest,8.2,2023-06-04 09:03:08.173062
BlackBerry,7.7,2023-06-04 09:03:08.173062
Everything Everywhere All at Once,7.8,2023-06-04 09:03:08.173062
Heat,8.3,2023-06-04 09:03:08.173062
The Godfather,9.2,2023-06-04 09:03:08.173062
Robots,5.2,2023-06-04 09:03:08.173062
Peter Pan & Wendy,4.2,2023-06-04 09:03:08.173062
Hypnotic,5.4,2023-06-04 09:03:08.173062
The Menu,7.2,2023-06-04 09:03:08.173062
What's Love Got to Do with It,7.3,2023-06-04 09:03:08.173062
65,5.4,2023-06-04 09:03:08.173062
The Kerala Story,7.4,2023-06-04 09:03:08.173062
Dune: Part One,8.0,2023-06-04 09:03:08.173062
Interstellar,8.7,2023-06-04 09:03:08.173062
The Shawshank Redemption,9.3,2023-06-04 09:03:08.173062
John Wick,7.4,2023-06-04 09:03:08.173062
The Boogeyman,6.2,2023-06-04 09:03:08.173062
Firebrand,6.3,2023-06-04 09:03:08.173062
Dzien Matki,5.2,2023-06-04 09:03:08.173062
Cocaine Bear,6.0,2023-06-04 09:03:08.173062
Fast & Furious 7,7.1,2023-06-04 09:03:08.173062
Dune: Part Two,-1.0,2023-06-04 09:03:08.173062
Bullet Train,7.3,2023-06-04 09:03:08.173062
Guardians of the Galaxy Vol. 2,7.6,2023-06-04 09:03:08.173062
Girl in the Basement,6.3,2023-06-04 09:03:08.173062
Harry Potter and the Sorcerer's Stone,7.6,2023-06-04 09:03:08.173062
Operation Fortune: Ruse de Guerre,6.3,2023-06-04 09:03:08.173062
Beetlejuice 2,-1.0,2023-06-04 09:03:08.173062
Pearl,7.0,2023-06-04 09:03:08.173062
Fast Five,7.3,2023-06-04 09:03:08.173062
Babylon,7.2,2023-06-04 09:03:08.173062
Spider-Man: Into the Spider-Verse,8.4,2023-06-04 09:03:08.173062
Fast & Furious,6.5,2023-06-04 09:03:08.173062
The Whale,7.7,2023-06-04 09:03:08.173062
"Are You There God? It's Me, Margaret.",7.8,2023-06-04 09:03:08.173062
Triangle of Sadness,7.3,2023-06-04 09:03:08.173062
Kathal: A Jackfruit Mystery,6.7,2023-06-04 09:03:08.173062
The Fate of the Furious,6.6,2023-06-04 09:03:08.173062
Love,6.1,2023-06-04 09:03:08.173062
Blood & Gold,6.5,2023-06-04 09:03:08.173062
The Fabelmans,7.6,2023-06-04 09:03:08.173062
Bama Rush,3.9,2023-06-04 09:03:08.173062
You Hurt My Feelings,7.2,2023-06-04 09:03:08.173062
Nefarious,6.8,2023-06-04 09:03:08.173062
Once Upon a Time in... Hollywood,7.6,2023-06-04 09:03:08.173062
